tiempo_formato,potenciometro
00:42.036,0.0
00:42.033,0.0
00:42.030,0.0
00:42.027,0.0
00:42.023,0.0
00:42.020,0.0
00:42.017,0.0
00:42.014,0.0
00:42.011,0.0
00:42.008,0.0
00:42.005,0.0
00:42.002,0.0
00:41.999,0.0
00:41.996,0.0
00:41.993,0.0
00:41.990,0.0
00:41.987,0.0
00:41.984,0.0
00:41.981,0.0
00:41.978,0.0
00:41.975,0.0
00:41.972,0.0
00:41.969,0.0
00:41.966,0.0
00:41.963,0.0
00:41.960,0.0
00:41.957,0.0
00:41.954,0.0
00:41.951,0.0
00:41.948,0.0
00:41.945,0.0
00:41.942,0.0
00:41.938,0.0
00:41.935,0.0
00:41.932,0.0
00:41.929,0.0
00:41.926,0.0
00:41.923,0.0
00:41.920,0.0
00:41.917,0.0
00:41.914,0.0
00:41.911,0.0
00:41.908,0.0
00:41.905,0.0
00:41.902,0.0
00:41.899,0.0
00:41.895,0.0
00:41.892,0.0
00:41.889,0.0
00:41.886,0.0
00:41.883,0.0
00:41.880,0.0
00:41.877,0.0
00:41.874,0.0
00:41.871,0.0
00:41.868,0.0
00:41.865,0.0
00:41.862,0.0
00:41.859,0.0
00:41.856,0.0
00:41.853,0.0
00:41.850,0.0
00:41.847,0.0
00:41.844,0.0
00:41.841,0.0
00:41.838,0.0
00:41.835,0.0
00:41.832,0.0
00:41.829,0.0
00:41.826,0.0
00:41.823,0.0
00:41.820,0.0
00:41.817,0.0
00:41.814,0.0
00:41.810,0.0
00:41.807,0.0
00:41.804,0.0
00:41.801,0.0
00:41.798,0.0
00:41.795,0.0
00:41.792,0.0
00:41.789,0.0
00:41.786,0.0
00:41.783,0.0
00:41.780,0.0
00:41.777,0.0
00:41.774,0.0
00:41.771,0.0
00:41.767,0.0
00:41.764,0.0
00:41.761,0.0
00:41.758,0.0
00:41.755,0.0
00:41.752,0.0
00:41.749,0.0
00:41.746,0.0
00:41.743,0.0
00:41.740,0.0
00:41.737,0.0
00:41.734,0.0
00:41.731,0.0
00:41.728,0.0
00:41.725,0.0
00:41.722,0.0
00:41.719,0.0
00:41.716,0.0
00:41.713,0.0
00:41.710,0.0
00:41.707,0.0
00:41.704,0.0
00:41.701,0.0
00:41.698,0.0
00:41.695,0.0
00:41.692,0.0
00:41.689,0.0
00:41.686,0.0
00:41.682,0.0
00:41.679,0.0
00:41.676,0.0
00:41.673,0.0
00:41.670,0.0
00:41.667,0.0
00:41.664,0.0
00:41.661,0.0
00:41.658,0.0
00:41.655,0.0
00:41.652,0.0
00:41.649,0.0
00:41.646,0.0
00:41.643,0.0
00:41.639,0.0
00:41.636,0.0
00:41.633,0.0
00:41.630,0.0
00:41.627,0.0
00:41.624,0.0
00:41.621,0.0
00:41.618,0.0
00:41.615,0.0
00:41.612,0.0
00:41.609,0.0
00:41.606,0.0
00:41.603,0.0
00:41.600,0.0
00:41.597,0.0
00:41.594,0.0
00:41.591,0.0
00:41.588,0.0
00:41.585,0.0
00:41.582,0.0
00:41.579,0.0
00:41.576,0.0
00:41.573,0.0
00:41.570,0.0
00:41.567,0.0
00:41.564,0.0
00:41.561,0.0
00:41.557,0.0
00:41.554,0.0
00:41.551,0.0
00:41.548,0.0
00:41.545,0.0
00:41.542,0.0
00:41.539,0.0
00:41.536,0.0
00:41.533,0.0
00:41.530,0.0
00:41.527,0.0
00:41.524,0.0
00:41.521,0.0
00:41.518,0.0
00:41.515,0.0
00:41.511,0.0
00:41.508,0.0
00:41.505,0.0
00:41.502,0.0
00:41.499,0.0
00:41.496,0.0
00:41.493,0.0
00:41.490,0.0
00:41.487,0.0
00:41.484,0.0
00:41.481,0.0
00:41.478,0.0
00:41.475,0.0
00:41.472,0.0
00:41.469,0.0
00:41.466,0.0
00:41.463,0.0
00:41.460,0.0
00:41.457,0.0
00:41.454,0.0
00:41.451,0.0
00:41.448,0.0
00:41.445,0.0
00:41.442,0.0
00:41.439,0.0
00:41.435,0.0
00:41.432,0.0
00:41.429,0.0
00:41.426,0.0
00:41.423,0.0
00:41.420,0.0
00:41.417,0.0
00:41.414,0.0
00:41.411,0.0
00:41.408,0.0
00:41.405,0.0
00:41.402,0.0
00:41.399,0.0
00:41.396,0.0
00:41.393,0.0
00:41.390,0.0
00:41.387,0.0
00:41.383,0.0
00:41.380,0.0
00:41.377,0.0
00:41.374,0.0
00:41.371,0.0
00:41.368,0.0
00:41.365,0.0
00:41.362,0.0
00:41.359,0.0
00:41.356,0.0
00:41.353,0.0
00:41.350,0.0
00:41.347,0.0
00:41.344,0.0
00:41.341,0.0
00:41.338,0.0
00:41.335,0.0
00:41.332,0.0
00:41.329,0.0
00:41.326,0.0
00:41.323,0.0
00:41.320,0.0
00:41.317,0.0
00:41.314,0.0
00:41.310,0.0
00:41.307,0.0
00:41.304,0.0
00:41.301,0.0
00:41.298,0.0
00:41.295,0.0
00:41.292,0.0
00:41.289,0.0
00:41.286,0.0
00:41.283,0.0
00:41.280,0.0
00:41.277,0.0
00:41.274,0.0
00:41.271,0.0
00:41.268,0.0
00:41.265,0.0
00:41.262,0.0
00:41.259,0.0
00:41.255,0.0
00:41.252,0.0
00:41.249,0.0
00:41.246,0.0
00:41.243,0.0
00:41.240,0.0
00:41.237,0.0
00:41.234,0.0
00:41.231,0.0
00:41.228,0.0
00:41.225,0.0
00:41.222,0.0
00:41.219,0.0
00:41.216,0.0
00:41.213,0.0
00:41.210,0.0
00:41.207,0.0
00:41.204,0.0
00:41.201,0.0
00:41.198,0.0
00:41.195,0.0
00:41.192,0.0
00:41.189,0.0
00:41.185,0.0
00:41.182,0.0
00:41.179,0.0
00:41.176,0.0
00:41.173,0.0
00:41.170,0.0
00:41.167,0.0
00:41.164,0.0
00:41.161,0.0
00:41.158,0.0
00:41.155,0.0
00:41.152,0.0
00:41.149,0.0
00:41.146,0.0
00:41.143,0.0
00:41.140,0.0
00:41.137,0.0
00:41.134,0.0
00:41.131,0.0
00:41.127,0.0
00:41.124,0.0
00:41.121,0.0
00:41.118,0.0
00:41.115,0.0
00:41.112,0.0
00:41.109,0.0
00:41.106,0.0
00:41.103,0.0
00:41.100,0.0
00:41.097,0.0
00:41.094,0.0
00:41.091,0.0
00:41.088,0.0
00:41.085,0.0
00:41.082,0.0
00:41.079,0.0
00:41.076,0.0
00:41.073,0.0
00:41.070,0.0
00:41.067,0.0
00:41.064,0.0
00:41.060,0.0
00:41.057,0.0
00:41.054,0.0
00:41.051,0.0
00:41.048,0.0
00:41.045,0.0
00:41.042,0.0
00:41.039,0.0
00:41.036,0.0
00:41.033,0.0
00:41.030,0.0
00:41.027,0.0
00:41.024,0.0
00:41.021,0.0
00:41.018,0.0
00:41.015,0.0
00:41.012,0.0
00:41.009,0.0
00:41.006,0.0
00:41.003,0.0
00:40.999,0.0
00:40.996,0.0
00:40.993,0.0
00:40.990,0.0
00:40.987,0.0
00:40.984,0.0
00:40.981,0.0
00:40.978,0.0
00:40.975,0.0
00:40.972,0.0
00:40.969,0.0
00:40.966,0.0
00:40.963,0.0
00:40.960,0.0
00:40.957,0.0
00:40.954,0.0
00:40.951,0.0
00:40.948,0.0
00:40.945,0.0
00:40.942,0.0
00:40.939,0.0
00:40.936,0.0
00:40.932,0.0
00:40.929,0.0
00:40.926,0.0
00:40.923,0.0
00:40.920,0.0
00:40.917,0.0
00:40.914,0.0
00:40.911,0.0
00:40.908,0.0
00:40.905,0.0
00:40.902,0.0
00:40.899,0.0
00:40.896,0.0
00:40.893,0.0
00:40.890,0.0
00:40.887,0.0
00:40.884,0.0
00:40.881,0.0
00:40.878,0.0
00:40.875,0.0
00:40.871,0.0
00:40.868,0.0
00:40.865,0.0
00:40.862,0.0
00:40.859,0.0
00:40.856,0.0
00:40.853,0.0
00:40.850,0.0
00:40.847,0.0
00:40.844,0.0
00:40.841,0.0
00:40.838,0.0
00:40.835,0.0
00:40.832,0.0
00:40.829,0.0
00:40.826,0.0
00:40.823,0.0
00:40.820,0.0
00:40.817,0.0
00:40.814,0.0
00:40.811,0.0
00:40.807,0.0
00:40.804,0.0
00:40.801,0.0
00:40.798,0.0
00:40.795,0.0
00:40.792,0.0
00:40.789,0.0
00:40.786,0.0
00:40.783,0.0
00:40.780,0.0
00:40.777,0.0
00:40.774,0.0
00:40.771,0.0
00:40.768,0.0
00:40.765,0.0
00:40.762,0.0
00:40.759,0.0
00:40.756,0.0
00:40.753,0.0
00:40.750,0.0
00:40.746,0.0
00:40.743,0.0
00:40.740,0.0
00:40.737,0.0
00:40.734,0.0
00:40.731,0.0
00:40.728,0.0
00:40.725,0.0
00:40.722,0.0
00:40.719,0.0
00:40.716,0.0
00:40.713,0.0
00:40.710,0.0
00:40.707,0.0
00:40.704,0.0
00:40.701,0.0
00:40.698,0.0
00:40.695,0.0
00:40.692,0.0
00:40.689,0.0
00:40.686,0.0
00:40.682,0.0
00:40.679,0.0
00:40.676,0.0
00:40.673,0.0
00:40.670,0.0
00:40.667,0.0
00:40.664,0.0
00:40.661,0.0
00:40.658,0.0
00:40.655,0.0
00:40.652,0.0
00:40.649,0.0
00:40.646,0.0
00:40.643,0.0
00:40.640,0.0
00:40.637,0.0
00:40.634,0.0
00:40.631,0.0
00:40.628,0.0
00:40.625,0.0
00:40.621,0.0
00:40.618,0.0
00:40.615,0.0
00:40.612,0.0
00:40.609,0.0
00:40.606,0.0
00:40.603,0.0
00:40.600,0.0
00:40.597,0.0
00:40.594,0.0
00:40.591,0.0
00:40.588,0.0
00:40.585,0.0
00:40.582,0.0
00:40.579,0.0
00:40.576,0.0
00:40.573,0.0
00:40.570,0.0
00:40.567,0.0
00:40.564,0.0
00:40.561,0.0
00:40.557,0.0
00:40.554,0.0
00:40.551,0.0
00:40.548,0.0
00:40.545,0.0
00:40.542,0.0
00:40.539,0.0
00:40.536,0.0
00:40.533,0.0
00:40.530,0.0
00:40.527,0.0
00:40.524,0.0
00:40.521,0.0
00:40.518,0.0
00:40.515,0.0
00:40.512,0.0
00:40.509,0.0
00:40.506,0.0
00:40.503,0.0
00:40.500,0.0
00:40.496,0.0
00:40.493,0.0
00:40.490,0.0
00:40.487,0.0
00:40.484,0.0
00:40.481,0.0
00:40.478,0.0
00:40.475,0.0
00:40.472,0.0
00:40.469,0.0
00:40.466,0.0
00:40.463,0.0
00:40.460,0.0
00:40.457,0.0
00:40.454,0.0
00:40.451,0.0
00:40.448,0.0
00:40.445,0.0
00:40.442,0.0
00:40.439,0.0
00:40.435,0.0
00:40.432,0.0
00:40.429,0.0
00:40.426,0.0
00:40.423,0.0
00:40.420,0.0
00:40.417,0.0
00:40.414,0.0
00:40.411,0.0
00:40.408,0.0
00:40.405,0.0
00:40.402,0.0
00:40.399,0.0
00:40.396,0.0
00:40.393,0.0
00:40.390,0.0
00:40.387,0.0
00:40.384,0.0
00:40.381,0.0
00:40.378,0.0
00:40.375,0.0
00:40.371,0.0
