timestamp,ECG_I,ECG_II,ECG_III,AccX,AccY,AccZ,AccMag
4556.0,1.93991,1.924729,-0.015181,0.4707,0.7453,10.3558,10.39324897325182
4566.0,1.981115,1.962681,-0.018434,0.4707,0.8238,10.3166,10.360137088378705
4576.0,1.974609,1.951838,-0.022771,0.4707,0.7845,10.3166,10.357086187726738
4586.0,1.924729,1.909548,-0.015181,0.5099,0.8238,10.3166,10.361992086949304
4596.0,1.907379,1.868343,-0.039037,0.5099,0.863,10.3166,10.365182225605103
4606.0,1.846656,1.783763,-0.062893,0.4707,0.8238,10.3558,10.399172975289911
4616.0,1.837981,1.781594,-0.056386,0.5492,0.7845,10.3166,10.36095055726066
4626.0,1.837981,1.781594,-0.056386,0.4707,0.8238,10.3166,10.360137088378705
4636.0,1.836896,1.768582,-0.068314,0.4707,0.7845,10.2774,10.318040002829996
4646.0,1.853162,1.794607,-0.058555,0.4707,0.7061,10.3166,10.351442955453118
4656.0,1.836896,1.770751,-0.066146,0.4315,0.7453,10.3166,10.35248278916705
4666.0,1.849909,1.790269,-0.059639,0.4707,0.7453,10.3558,10.39324897325182
4676.0,1.844487,1.793522,-0.050965,0.4707,0.7061,10.3166,10.351442955453118
4686.0,1.83039,1.769666,-0.060724,0.4707,0.7453,10.395,10.432308257523834
4696.0,1.727377,1.681834,-0.045543,0.5099,0.7845,10.3558,10.397982107120592
4706.0,1.767498,1.737136,-0.030362,0.5099,0.7453,10.3166,10.356046816232533
4716.0,2.305337,2.395339,0.090001,0.4707,0.8238,10.3558,10.399172975289911
4726.0,2.739079,2.959203,0.220124,0.5099,0.7453,10.3166,10.356046816232533
4736.0,2.314012,2.447388,0.133376,0.4707,0.8238,10.395,10.438210092252406
4746.0,1.785932,1.727377,-0.058555,0.5492,0.8238,10.3166,10.364000320339631
4756.0,1.664484,1.577736,-0.086748,0.5099,0.8238,10.3166,10.361992086949304
4766.0,1.781594,1.708943,-0.072652,0.5099,0.7845,10.2774,10.31990256833852
4776.0,1.796775,1.731714,-0.065061,0.4707,0.8238,10.3558,10.399172975289911
4786.0,1.783763,1.715449,-0.068314,0.4707,0.7845,10.395,10.435182017578802
4796.0,1.808703,1.740389,-0.068314,0.4707,0.7845,10.3166,10.357086187726738
4806.0,1.7881,1.723039,-0.065061,0.5099,0.7845,10.3558,10.397982107120592
4816.0,1.79786,1.734967,-0.062893,0.4707,0.7061,10.3558,10.390511505214747
4826.0,1.795691,1.739304,-0.056386,0.5099,0.7453,10.3166,10.356046816232533
4836.0,1.784847,1.726292,-0.058555,0.5099,0.7845,10.3166,10.358941732628868
